CITY_STATE,COUNTY
"RAPID CITY, SD",PENNINGTON
"OAKDALE, CA",STANISLAUS
"BERKELEY, CA",ALAMEDA
"HALSEY, OR",LINN
"BERGEN, NJ",HUDSON
"JOSHUA TREE, CA",SAN BERNARDINO
"BROOKINGS, SD",BROOKINGS
"EL SEGUNDO, CA",LOS ANGELES
"GUERNSEY, TX",HIDALGO
"LACEY, WA",THURSTON
"FERNLEY, NV",LYON
"SELBY, CA",CONTRA COSTA
"PORT ARTHUR, TX",JEFFERSON
"GULF SHORES, AL",BALDWIN
"BETHANY, OK",OKLAHOMA
"Lambert Airport, MO",NA
"DODGE CITY, KS",FORD
"WATERLOO, IA",BLACK HAWK
"BAYONNE, NJ",HUDSON
"LAKE HAVASU CITY, AZ",MOHAVE
"PANORAMA CITY, CA",LOS ANGELES
"JASPER, MO",JASPER
"PETAL, MS",FORREST
"LUMBERTON, NC",ROBESON
"SEWAREN, NJ",MIDDLESEX
"SEATTLE, AZ",MARICOPA
"CHEYENNE, WY",LARAMIE
"REDLANDS, CA",SAN BERNARDINO
"FREEPORT, TX",BRAZORIA
"VISTA, CA",SAN DIEGO
"CENTRALIA, WA",LEWIS
"WESTLAKE , LA",CALCASIEU
"EVERETT, MA",MIDDLESEX
"SIGNAL HILL, CA",LOS ANGELES
"BOULDER, CO",BOULDER
"EAST BOSTON, MA",SUFFOLK
"Denver, CO",DENVER
"LOUISVILLE, CO",BOULDER
"NEW ALBANY, IN",FLOYD
"SUNDOWN, TX",HOCKLEY
"MOSES LAKE, WA",GRANT
"LINDSAY, OK",GARVIN
"ROBINSON, IL",CRAWFORD
"LAWRENCE, KS",DOUGLAS
"MARION, IL",WILLIAMSON
"WESTWEGO, LA",JEFFERSON
"GUTHRIE, OK",OKLAHOMA
"MATHEWS, VA",MATHEWS
"ROHNERT PARK, CA",SONOMA
"Brunswick, MD",FREDERICK
"WOODBURN, OR",MARION
"DECATUR, AL",MORGAN
"MOLINE, IL",ROCK ISLAND
"GREENSBORO, NC",GUILFORD
"OAKLAND, CA",ALAMEDA
"SEATTLE, PA",WESTMORELAND
"AUSTIN, TX",TRAVIS
"MOUNT VERNON, MO",VERNON
"PORT NECHES, TX",JEFFERSON
"MASSILLON, OH",STARK
"Fort Morgan, CO",NA
"NORTH SALT LAKE, UT",DAVIS
"MONTROSE, IL",EFFINGHAM
"PORT READING, NJ",MIDDLESEX
"COLFAX, WA",WHITMAN
"JEFFERSON CITY, MO",COLE
"SOUTH CURTIS, TX",DENTON
"LAKE, IN",LAKE
"GIBSLAND, LA",BIENVILLE
"WARRENSBURG, MO",JOHNSON
"SUPERIOR, WI",DOUGLAS
"IMPERIAL BEACH, CA",SAN DIEGO
"SANTA BARBARA, CA",SANTA BARBARA
"KALISPELL, MT",FLATHEAD
"CONWAY, AR",FAULKNER
"PLAINVIEW, TX",HALE
"FLATHEAD, MT",FLATHEAD
"PARRISH, FL",MANATEE
"ROUNDUP, TX",HOCKLEY
"JACKSON, MI",JACKSON
"SAUNDERS, TX",TERRELL
"HEREFORD, TX",DEAF SMITH
"HEARNE, TX",ROBERTSON
"KIRKLAND, WA",KING
"FINDLAY, OH",HANCOCK
"OFFSHORE, LA",ST. MARY
"PHOENIX, AZ",MARICOPA
"MENTONE, TX",LOVING
"PAMPA, TX",GRAY
"EAST FAIRVIEW, ND",MCKENZIE
"CUT BANK, MT",GLACIER
"WOOD RIVER, IL",MADISON
"UNKNOWN, LA",NA
"DALLAS, OR",POLK
"Ogallala, NE",KEITH
"CHANNAHON, IL",WILL
"COMPTON, CA",LOS ANGELES
"COLORADO CITY, TX",MITCHELL
"SUPERIOR, IL",NA
"YAKIMA, WA",YAKIMA
" , LA",LOS ANGELES
"PFLUGERVILLE, TX",TRAVIS
"SPRINGFIELD, CA",TUOLUMNE
"Morristown, NJ",MORRIS
"COVINGTON, MS",COVINGTON
"SOUTH BEND, IN",ST. JOSEPH
"LEA, NM",LEA
" , TX",NA
"PORTLAND, OR",MULTNOMAH
"JACKSBORO, TX",JACK
"PHILADELPHIA, PA",PHILADELPHIA
"FORT DODGE, IA",NA
"HUMBLE, TX",HARRIS
"SEDGWICK, KS",HARVEY
"AGOURA, CA",LOS ANGELES
"VANCOUVER, WA",CLARK
"TENINO, WA",THURSTON
"GAIL, TX",BORDEN
"WHITE CASTLE, LA",IBERVILLE
"WOODS CROSS, UT",DAVIS
"BROOKSHIRE, TX",WALLER
"UNIVERSITY, TX",DALLAS
"GILLETTE, WY",CAMPBELL
"ARCADIA, LA",BIENVILLE
"CANON CITY, CO",FREMONT
"MOSINEE, WI",MARATHON
"WYNNEWOOD, OK",OKLAHOMA
"TACOMA, WA",PIERCE
"FORT LAUDERDALE, FL",LAKE
"PALMDALE, CA",LOS ANGELES
"CHICO, CA",BUTTE
"PALERMO, ND",MOUNTRAIL
"MILPITAS, CA",SANTA CLARA
"BLOOMINGTON, IN",MONROE
"STERLING, IL",WHITESIDE
"PERRY, GA",HOUSTON
"FRESNO, CA",FRESNO
"PASCO, WA",FRANKLIN
"SANDY, OR",CLACKAMAS
"MANHATTAN BEACH, CA",LOS ANGELES
"PAULSBORO, NJ",GLOUCESTER
"COLUMBUS, GA",MUSCOGEE
"GOOD STATION, TX",NA
"VEAL, TX",NUECES
"FOUNTAIN VALLEY, CA",ORANGE
"TARZAN, TX",MARTIN
"HESPERIA, CA",SAN BERNARDINO
"TACOMA, IL",LA SALLE
"CITRUS HEIGHTS, CA",SACRAMENTO
"Harlingen, TX",CAMERON
"MOON, PA",ALLEGHENY
"ATHENS, GA",CLARKE
"TACOMA, OR",NA
"DENVER CITY, TX",YOAKUM
"PARAMOUNT, CA",LOS ANGELES
"CAMERON PARK, CA",EL DORADO
"MONTCLAIR, CA",SAN BERNARDINO
"SIOUX CITY, IA",WOODBURY
"LAKEWOOD, CA",LOS ANGELES
"Montrose, CO",MONTROSE
"BRAY, OK",STEPHENS
"HARLINGEN, TX",CAMERON
"Brighton, CO",ADAMS
"MONROVIA, CA",LOS ANGELES
"HARRISTOWN, IL",MACON
"SAN MATEO, CO",NA
"HACKBERRY, LA",CAMERON
"WILBUR, WA",LINCOLN
"LAFITTE, LA",JEFFERSON
"COLLINS, MS",COVINGTON
"ARVADA, CO",JEFFERSON
"CORDOVA, IL",ROCK ISLAND
"STILLWATER, OK",PAYNE
"SANDS, MT",NA
"Fort Collins, CO",NA
"BURBANK, WA",WALLA WALLA
"CHARLOTTE, NC",MECKLENBURG
"KANSAS CITY, KS",WYANDOTTE
"DUBLIN, CA",ALAMEDA
"JOHNSON BAYOU, LA",BAY
"CENTERVILLE, TX",LEON
"SAUNDERS, NM",GUADALUPE
"UNKNOWN, ND",NA
"ANAHEIM, CA",ORANGE
"BIG SPRING, TX",HOWARD
"MOKENA, IL",WILL
"SAN PEDRO, CA",LOS ANGELES
"CAPROCK, TX",CROSBY
"WACO, TX",MCLENNAN
"WAKARUSA, KS",SHAWNEE
"STATEN ISLAND, NY",RICHMOND
"BRISBANE, TX",MCLENNAN
"DOSS, TX",GILLESPIE
"SIOUX FALLS, SD",MINNEHAHA
"CROCKETT, CA",CONTRA COSTA
"SHERIDAN, WY",SHERIDAN
"ARLINGTON, WA",SNOHOMISH
"GLENPOOL, OK",TULSA
"GUILFORD, NC",GUILFORD
"CARLSBAD, NM",EDDY
"LINDEN, NJ",UNION
"PLEASANTON, CA",ALAMEDA
"ST. CLAIR, MI",ST. CLAIR
"BURAS, LA",PLAQUEMINES
"WHITING, IN",LAKE
"ELMER, LA",LAFOURCHE
"HAHNVILLE, LA",ST. CHARLES
"SPRING VALLEY, VA",STAFFORD
"LEXINGTON, KY",FAYETTE
"CHALMETTE, LA",ST. BERNARD
"LOUISVILLE, KY",JEFFERSON
"KANKAKEE, IL",KANKAKEE
"NEWINGTON, VA",FAIRFAX CITY
"MANDAN, ND",MORTON
"ENGLEWOOD, CO",ARAPAHOE
"MIAMI, KS",RENO
"MILLBURY, OH",WOOD
"LAREDO, TX",WEBB
"RICHMOND, CA",CONTRA COSTA
"East Chicago, IN",LAKE
"BILLINGS, MT",YELLOWSTONE
"BOZEMAN, MT",GALLATIN
"TONKAWA, OK",KAY
"PLACENTIA, CA",NA
"Idaho Springs, CO",CLEAR CREEK
"OSHKOSH, WI",WINNEBAGO
"GLENDALE, CA",LOS ANGELES
"DUBUQUE, IA",DUBUQUE
"IOWA, LA",CALCASIEU
"SOUTH BURLINGTON, VT",CHITTENDEN
"FIFE, WA",PIERCE
"MENIFEE, CA",RIVERSIDE
"MORRIS, OK",OKMULGEE
"Salida, CO",CHAFFEE
"DOUGLAS, WY",CONVERSE
"TORRINGTON, WY",GOSHEN
"LOVINGTON, NM",LEA
"KEENESBURG, CO",WELD
"Sidney, NE",CHEYENNE
"BIG LAKE, TX",REAGAN
"LA JUNTA, CO",OTERO
"CLEVELAND, OH",CUYAHOGA
"JEFFERSONVILLE, IN",CLARK
"WICHITA FALLS, TX",WICHITA
"TIOGA, ND",WILLIAMS
"ROCKFORD, IL",WINNEBAGO
"DOVER, OK",KINGFISHER
"DALLAS, TX",DALLAS
"BOSSIER CITY, LA",BOSSIER
"HAWTHORNE, CA",LOS ANGELES
"EL CENTRO, CA",IMPERIAL
"Canon City, CO",FREMONT
"CORPUS CHRISTI, TX",NUECES
"CHANUTE, KS",NEOSHO
"WOODBURY, NJ",GLOUCESTER
"EDINBURG, ND",WALSH
"ERATH, LA",VERMILION
"POWAY, CA",SAN DIEGO
"Joplin, MO",JASPER
"SANTA ANA, WA",KLICKITAT
"WASHINGTON, TX",WASHINGTON
"Longmont, CO",BOULDER
"CHICAGO HEIGHTS, IL",COOK
"BEDFORD, MA",MIDDLESEX
"ALGONA, IA",KOSSUTH
"WHARTON, TX",WHARTON
"SIDNEY, MT",RICHLAND
"Katy, TX",HARRIS
"NEWCASTLE, WY",WESTON
"BLAINE, MN",ANOKA
"HAYDEN LAKE, ID",KOOTENAI
"LA PALMA, CA",ORANGE
"LOS ANGELES, CA",LOS ANGELES
"WILMINGTON, NC",NEW HANOVER
"DUPONT, CO",ADAMS
"NORCO, CA",RIVERSIDE
"HOUMA, LA",TERREBONNE
"ANCHORAGE, AK",MUNICIPALITY OF ANCHORAGE
"BRIDGEPORT, NJ",GLOUCESTER
"ELBERT, TX",THROCKMORTON
"PARKER, CO",DOUGLAS
"CHESTERFIELD, MO",ST. LOUIS
"ECTOR, TX",FANNIN
"GARYVILLE, LA",ST. JOHN THE BAPTIST
"JAL, NM",LEA
"BRUNSWICK, GA",GLYNN
"PIERRE, SD",HUGHES
"ROCK SPRINGS, WY",SWEETWATER
"NEW TOWN, ND",MOUNTRAIL
"CAPE CANAVERAL, FL",BREVARD
"LOVING, TX",YOUNG
"Ponca City, OK",KAY
"AKRON, CO",WASHINGTON
"INWOOD, NY",NASSAU
"TAMPA, FL",HILLSBOROUGH
"RILEY, TX",HASKELL
"BARTLESVILLE, OK",WASHINGTON
"PUYALLUP, WA",PIERCE
"INDIANAPOLIS, IN",MARION
"CRANE STATION, TX",NA
"MILFORD, IA",DICKINSON
"ALISO VIEJO, CA",ORANGE
"CASPER, WY",NATRONA
"PORT SULPHUR, LA",PLAQUEMINES
"DURANGO, CO",LA PLATA
"COLUMBUS, NE",PLATTE
"PRATT, KS",PRATT
"BUTLER, KS",BUTLER
"WINFIELD, KS",COWLEY
"BOARDMAN, OR",MORROW
"CUERO, TX",DEWITT
"RICHLAND, WA",BENTON
"HOUSTON, TX",HARRIS
"MEDFORD, OK",GRANT
"Borger, TX",HUTCHINSON
"EAST CHICAGO, IN",LAKE
"BORGER, NM",NA
"BOTHELL, WA",KING
